Location_Name,l_hist,l_adv,l_nat,l_rel,l_outdoor,l_lat,l_lng
Pigeon Island,0.1,0.7,0.9,0.3,1,8.7167,81.2
Royal Botanical Gardens,0.3,0.1,0.9,0.8,1,7.2697,80.5967
Hanthana Mountain Range,0.1,0.8,0.8,0.1,1,7.2586,80.6286
Weligama Surf Break,0.0,0.9,0.4,0.3,1,5.9667,80.4333
Ravana Falls,0.2,0.3,0.8,0.5,1,6.8417,81.05
Adisham Bungalow,0.8,0.1,0.4,0.6,0,6.7767,80.925
Yala National Park,0.1,0.7,1.0,0.2,1,6.3667,81.4667
Minneriya National Park,0.1,0.6,1.0,0.2,1,8.0305,80.8306
Nilaveli Beach,0.1,0.2,0.5,0.9,1,8.6833,81.2
Temple of the Tooth,1.0,0.1,0.2,0.6,0,7.2936,80.6413
Galle Fort,0.9,0.1,0.2,0.8,1,6.0311,80.217
Mirissa Whale Watching,0.0,0.8,0.9,0.3,1,5.9483,80.4714
Hiriwadunna Village Trek,0.3,0.2,0.7,0.8,1,8.0197,80.7631
Diyaluma Falls,0.1,0.9,0.9,0.3,1,6.7303,81.0319
Pidurangala Rock,0.6,0.8,0.6,0.2,1,7.9636,80.7633
Moon Plains,0.1,0.5,0.9,0.4,1,6.9583,80.8
Wilpattu National Park,0.2,0.6,1.0,0.2,1,8.4333,80.0
Sembuwatta Lake,0.1,0.3,0.8,0.7,1,7.4369,80.6997
Delft Island,0.7,0.5,0.7,0.2,1,9.51,79.68
Madol Doova,0.4,0.2,0.7,0.5,1,5.9667,80.3
Ritigala Forest Monastery,0.9,0.5,0.8,0.2,1,8.1189,80.6483
Koggala Lake Safari,0.1,0.2,0.8,0.8,1,5.9833,80.3167
Bahirawakanda Buddha,0.7,0.2,0.3,0.5,1,7.2913,80.63
Casuarina Beach,0.1,0.2,0.5,0.8,1,9.76,79.89
Strawberry Farm Visit,0.0,0.0,0.6,0.9,0,6.94,80.74
Yapahuwa Rock Fortress,0.9,0.4,0.4,0.1,1,7.8168,80.3107
Jaffna Fort,0.9,0.2,0.3,0.4,1,9.6611,80.0083
Bambarakanda Falls,0.1,0.7,0.9,0.3,1,6.77,80.83
Kelaniya Raja Maha Vihara,0.9,0.0,0.1,0.5,0,6.95,79.9167
Unawatuna Jungle Beach,0.1,0.5,0.7,0.8,1,6.0183,80.2525
Nallur Kandaswamy Kovil,0.9,0.0,0.0,0.6,0,9.6745,80.0293
Pasikudah Beach,0.1,0.1,0.5,1.0,1,7.9167,81.55
Jaffna Public Library,0.8,0.0,0.1,0.5,0,9.6611,80.0111
Gregory Lake,0.1,0.2,0.6,0.8,1,6.9583,80.7764
Galle Face Green,0.3,0.1,0.1,0.8,1,6.9269,79.8433
Sinharaja Forest Reserve,0.1,0.7,1.0,0.2,1,6.4167,80.5
Hikkaduwa Coral Reef,0.1,0.6,0.7,0.5,1,6.1389,80.1
Parakrama Samudra,0.4,0.1,0.6,0.8,1,7.9333,81.0
Dambulla Cave Temple,1.0,0.2,0.3,0.3,0,7.8565,80.6484
Muthurajawela Wetland,0.1,0.4,0.9,0.4,1,7.0333,79.85
Rose Quartz Mountain,0.4,0.6,0.8,0.2,1,7.84,80.56
Nine Arches Bridge,0.6,0.3,0.7,0.4,1,6.8768,81.0608
Pedro Tea Estate,0.4,0.1,0.6,0.8,1,6.9833,80.7833
Ambuluwawa Tower,0.2,0.7,0.6,0.2,1,7.1614,80.5562
Embekke Devalaya,1.0,0.1,0.2,0.4,0,7.2186,80.5658
St. Clair's Falls,0.1,0.3,0.9,0.6,1,6.9389,80.6464
Gangaramaya Temple,0.8,0.0,0.1,0.5,0,6.9169,79.855
Riverston Gap,0.1,0.8,0.9,0.1,1,7.5167,80.7333
Elephant Rock,0.0,0.6,0.7,0.5,1,6.81,81.82
Hakgala Botanical Garden,0.2,0.1,0.9,0.7,1,6.9274,80.8201
Mihintale,1.0,0.3,0.4,0.2,1,8.35,80.5167
Coconut Tree Hill,0.0,0.1,0.5,0.9,1,5.9381,80.4667
Nagadeepa Vihara,0.8,0.1,0.4,0.4,1,9.6167,79.7667
Victoria Park,0.3,0.0,0.8,0.8,1,6.9708,80.7675
Kumana Bird Sanctuary,0.1,0.4,1.0,0.4,1,6.5131,81.6878
