User_ID,User_Archetype,u_hist,u_adv,u_nat,u_rel,Location_Name,l_hist,l_adv,l_nat,l_rel,l_outdoor,l_lat,l_lng,c_raining,ENJOYMENT_SCORE
U0001,Backpacker,0.08,0.72,0.54,0.23,Pigeon Island,0.1,0.7,0.9,0.3,1,8.7167,81.2,1,0.0
U0001,Backpacker,0.08,0.72,0.54,0.23,Royal Botanical Gardens,0.3,0.1,0.9,0.8,1,7.2697,80.5967,0,4.2
U0001,Backpacker,0.08,0.72,0.54,0.23,Hanthana Mountain Range,0.1,0.8,0.8,0.1,1,7.2586,80.6286,0,4.0
U0001,Backpacker,0.08,0.72,0.54,0.23,Weligama Surf Break,0.0,0.9,0.4,0.3,1,5.9667,80.4333,0,4.7
U0001,Backpacker,0.08,0.72,0.54,0.23,Ravana Falls,0.2,0.3,0.8,0.5,1,6.8417,81.05,0,3.6
U0001,Backpacker,0.08,0.72,0.54,0.23,Adisham Bungalow,0.8,0.1,0.4,0.6,0,6.7767,80.925,0,1.9
U0001,Backpacker,0.08,0.72,0.54,0.23,Yala National Park,0.1,0.7,1.0,0.2,1,6.3667,81.4667,0,4.4
U0001,Backpacker,0.08,0.72,0.54,0.23,Minneriya National Park,0.1,0.6,1.0,0.2,1,8.0305,80.8306,0,3.8
U0001,Backpacker,0.08,0.72,0.54,0.23,Nilaveli Beach,0.1,0.2,0.5,0.9,1,8.6833,81.2,0,2.3
U0001,Backpacker,0.08,0.72,0.54,0.23,Temple of the Tooth,1.0,0.1,0.2,0.6,0,7.2936,80.6413,0,1.6
U0001,Backpacker,0.08,0.72,0.54,0.23,Galle Fort,0.9,0.1,0.2,0.8,1,6.0311,80.217,0,1.4
U0001,Backpacker,0.08,0.72,0.54,0.23,Mirissa Whale Watching,0.0,0.8,0.9,0.3,1,5.9483,80.4714,0,4.3
U0001,Backpacker,0.08,0.72,0.54,0.23,Hiriwadunna Village Trek,0.3,0.2,0.7,0.8,1,8.0197,80.7631,0,3.0
U0001,Backpacker,0.08,0.72,0.54,0.23,Diyaluma Falls,0.1,0.9,0.9,0.3,1,6.7303,81.0319,0,5.2
U0001,Backpacker,0.08,0.72,0.54,0.23,Pidurangala Rock,0.6,0.8,0.6,0.2,1,7.9636,80.7633,0,4.6
U0002,Historian,0.82,0.23,0.41,0.41,Moon Plains,0.1,0.5,0.9,0.4,1,6.9583,80.8,0,3.3
U0002,Historian,0.82,0.23,0.41,0.41,Wilpattu National Park,0.2,0.6,1.0,0.2,1,8.4333,80.0,0,3.7
U0002,Historian,0.82,0.23,0.41,0.41,Sembuwatta Lake,0.1,0.3,0.8,0.7,1,7.4369,80.6997,1,0.0
U0002,Historian,0.82,0.23,0.41,0.41,Delft Island,0.7,0.5,0.7,0.2,1,9.51,79.68,0,4.0
U0002,Historian,0.82,0.23,0.41,0.41,Madol Doova,0.4,0.2,0.7,0.5,1,5.9667,80.3,0,3.3
U0002,Historian,0.82,0.23,0.41,0.41,Ritigala Forest Monastery,0.9,0.5,0.8,0.2,1,8.1189,80.6483,0,5.8
U0002,Historian,0.82,0.23,0.41,0.41,Koggala Lake Safari,0.1,0.2,0.8,0.8,1,5.9833,80.3167,0,2.4
U0002,Historian,0.82,0.23,0.41,0.41,Bahirawakanda Buddha,0.7,0.2,0.3,0.5,1,7.2913,80.63,0,4.2
U0002,Historian,0.82,0.23,0.41,0.41,Casuarina Beach,0.1,0.2,0.5,0.8,1,9.76,79.89,0,2.4
U0002,Historian,0.82,0.23,0.41,0.41,Diyaluma Falls,0.1,0.9,0.9,0.3,1,6.7303,81.0319,0,3.3
U0002,Historian,0.82,0.23,0.41,0.41,Strawberry Farm Visit,0.0,0.0,0.6,0.9,0,6.94,80.74,0,2.7
U0002,Historian,0.82,0.23,0.41,0.41,Yapahuwa Rock Fortress,0.9,0.4,0.4,0.1,1,7.8168,80.3107,0,6.0
U0002,Historian,0.82,0.23,0.41,0.41,Nilaveli Beach,0.1,0.2,0.5,0.9,1,8.6833,81.2,1,0.0
U0002,Historian,0.82,0.23,0.41,0.41,Jaffna Fort,0.9,0.2,0.3,0.4,1,9.6611,80.0083,0,5.9
U0002,Historian,0.82,0.23,0.41,0.41,Ravana Falls,0.2,0.3,0.8,0.5,1,6.8417,81.05,0,2.4
U0003,Family_Vacation,0.48,0.26,0.42,0.8,Bahirawakanda Buddha,0.7,0.2,0.3,0.5,1,7.2913,80.63,0,3.0
U0003,Family_Vacation,0.48,0.26,0.42,0.8,Bambarakanda Falls,0.1,0.7,0.9,0.3,1,6.77,80.83,1,0.0
U0003,Family_Vacation,0.48,0.26,0.42,0.8,Kelaniya Raja Maha Vihara,0.9,0.0,0.1,0.5,0,6.95,79.9167,0,3.9
U0003,Family_Vacation,0.48,0.26,0.42,0.8,Unawatuna Jungle Beach,0.1,0.5,0.7,0.8,1,6.0183,80.2525,0,4.7
U0003,Family_Vacation,0.48,0.26,0.42,0.8,Nallur Kandaswamy Kovil,0.9,0.0,0.0,0.6,0,9.6745,80.0293,1,4.1
U0003,Family_Vacation,0.48,0.26,0.42,0.8,Ravana Falls,0.2,0.3,0.8,0.5,1,6.8417,81.05,0,3.7
U0003,Family_Vacation,0.48,0.26,0.42,0.8,Pasikudah Beach,0.1,0.1,0.5,1.0,1,7.9167,81.55,0,5.9
U0003,Family_Vacation,0.48,0.26,0.42,0.8,Jaffna Public Library,0.8,0.0,0.1,0.5,0,9.6611,80.0111,0,3.4
U0003,Family_Vacation,0.48,0.26,0.42,0.8,Nilaveli Beach,0.1,0.2,0.5,0.9,1,8.6833,81.2,0,5.0
U0003,Family_Vacation,0.48,0.26,0.42,0.8,Gregory Lake,0.1,0.2,0.6,0.8,1,6.9583,80.7764,0,5.3
U0003,Family_Vacation,0.48,0.26,0.42,0.8,Delft Island,0.7,0.5,0.7,0.2,1,9.51,79.68,1,0.0
U0003,Family_Vacation,0.48,0.26,0.42,0.8,Diyaluma Falls,0.1,0.9,0.9,0.3,1,6.7303,81.0319,0,3.1
U0003,Family_Vacation,0.48,0.26,0.42,0.8,Galle Face Green,0.3,0.1,0.1,0.8,1,6.9269,79.8433,0,4.4
U0003,Family_Vacation,0.48,0.26,0.42,0.8,Sembuwatta Lake,0.1,0.3,0.8,0.7,1,7.4369,80.6997,0,4.2
U0003,Family_Vacation,0.48,0.26,0.42,0.8,Pidurangala Rock,0.6,0.8,0.6,0.2,1,7.9636,80.7633,0,2.7
U0004,Historian,0.73,0.25,0.5,0.28,Sinharaja Forest Reserve,0.1,0.7,1.0,0.2,1,6.4167,80.5,1,0.0
U0004,Historian,0.73,0.25,0.5,0.28,Pidurangala Rock,0.6,0.8,0.6,0.2,1,7.9636,80.7633,0,3.5
U0004,Historian,0.73,0.25,0.5,0.28,Hikkaduwa Coral Reef,0.1,0.6,0.7,0.5,1,6.1389,80.1,0,2.7
U0004,Historian,0.73,0.25,0.5,0.28,Jaffna Public Library,0.8,0.0,0.1,0.5,0,9.6611,80.0111,0,4.2
U0004,Historian,0.73,0.25,0.5,0.28,Parakrama Samudra,0.4,0.1,0.6,0.8,1,7.9333,81.0,0,3.0
U0004,Historian,0.73,0.25,0.5,0.28,Adisham Bungalow,0.8,0.1,0.4,0.6,0,6.7767,80.925,1,4.5
U0004,Historian,0.73,0.25,0.5,0.28,Dambulla Cave Temple,1.0,0.2,0.3,0.3,0,7.8565,80.6484,0,5.5
U0004,Historian,0.73,0.25,0.5,0.28,Diyaluma Falls,0.1,0.9,0.9,0.3,1,6.7303,81.0319,0,3.7
U0004,Historian,0.73,0.25,0.5,0.28,Muthurajawela Wetland,0.1,0.4,0.9,0.4,1,7.0333,79.85,0,3.4
U0004,Historian,0.73,0.25,0.5,0.28,Yala National Park,0.1,0.7,1.0,0.2,1,6.3667,81.4667,1,0.0
U0004,Historian,0.73,0.25,0.5,0.28,Nilaveli Beach,0.1,0.2,0.5,0.9,1,8.6833,81.2,0,1.7
U0004,Historian,0.73,0.25,0.5,0.28,Rose Quartz Mountain,0.4,0.6,0.8,0.2,1,7.84,80.56,0,3.4
U0004,Historian,0.73,0.25,0.5,0.28,Nine Arches Bridge,0.6,0.3,0.7,0.4,1,6.8768,81.0608,0,3.6
U0004,Historian,0.73,0.25,0.5,0.28,Gregory Lake,0.1,0.2,0.6,0.8,1,6.9583,80.7764,0,2.5
U0004,Historian,0.73,0.25,0.5,0.28,Pedro Tea Estate,0.4,0.1,0.6,0.8,1,6.9833,80.7833,0,2.7
U0005,Historian,1.0,0.34,0.62,0.29,Ritigala Forest Monastery,0.9,0.5,0.8,0.2,1,8.1189,80.6483,0,8.3
U0005,Historian,1.0,0.34,0.62,0.29,Ambuluwawa Tower,0.2,0.7,0.6,0.2,1,7.1614,80.5562,0,3.5
U0005,Historian,1.0,0.34,0.62,0.29,Embekke Devalaya,1.0,0.1,0.2,0.4,0,7.2186,80.5658,0,8.3
U0005,Historian,1.0,0.34,0.62,0.29,Hikkaduwa Coral Reef,0.1,0.6,0.7,0.5,1,6.1389,80.1,0,3.5
U0005,Historian,1.0,0.34,0.62,0.29,St. Clair's Falls,0.1,0.3,0.9,0.6,1,6.9389,80.6464,0,4.7
U0005,Historian,1.0,0.34,0.62,0.29,Gangaramaya Temple,0.8,0.0,0.1,0.5,0,6.9169,79.855,1,5.5
U0005,Historian,1.0,0.34,0.62,0.29,Moon Plains,0.1,0.5,0.9,0.4,1,6.9583,80.8,0,4.4
U0005,Historian,1.0,0.34,0.62,0.29,Riverston Gap,0.1,0.8,0.9,0.1,1,7.5167,80.7333,0,4.4
U0005,Historian,1.0,0.34,0.62,0.29,Mirissa Whale Watching,0.0,0.8,0.9,0.3,1,5.9483,80.4714,0,4.6
U0005,Historian,1.0,0.34,0.62,0.29,Yala National Park,0.1,0.7,1.0,0.2,1,6.3667,81.4667,0,5.1
U0005,Historian,1.0,0.34,0.62,0.29,Sembuwatta Lake,0.1,0.3,0.8,0.7,1,7.4369,80.6997,1,0.0
